"Temperature","Replicate","Day","dpml"
15,1,0,2
15,2,0,2
15,3,0,2
15,4,0,2
15,5,0,2
20,1,0,2
20,2,0,2
20,3,0,2
20,4,0,2
20,5,0,2
15,1,2,8.52030673104232
15,2,2,10.4166666666667
15,3,2,8.63309352517986
15,4,2,3.08832612723904
15,5,2,7.92707094728498
20,1,2,19.1864927091328
20,2,2,1.61681487469685
20,3,2,56.8862275449102
20,4,2,27.3972602739726
20,5,2,32.3392022996766
15,1,5,153.846153846154
15,2,5,123.228589032656
15,3,5,186.385737439222
15,4,5,168.233547748639
15,5,5,122.818358112476
20,1,5,151.1457825451
20,2,5,129.87012987013
20,3,5,166.919575113809
20,4,5,164.866401364412
20,5,5,209.267563527653
15,1,7,110.410094637224
15,2,7,150.943396226415
15,3,7,155.306298533218
15,4,7,173.441734417344
15,5,7,30.3766707168894
20,1,7,259.74025974026
20,2,7,296.247531270573
20,3,7,204.290091930541
20,4,7,215.605749486653
20,5,7,246.768507638073
15,1,9,215.827338129496
15,2,9,241.486068111455
15,3,9,303.030303030303
15,4,9,250.50778605281
15,5,9,236.57529102516
20,1,9,261.437908496732
20,2,9,158.28677839851
20,3,9,167.627029858565
20,4,9,219.017094017094
20,5,9,259.201658890617
15,1,12,214.141414141414
15,2,12,330.170777988615
15,3,12,340.839926962873
15,4,12,288.511076764554
15,5,12,252.242152466368
20,1,12,212.655601659751
20,2,12,229.124236252546
20,3,12,108.481262327416
20,4,12,219.490781387182
20,5,12,254.442649434572
15,1,14,315.527262662607
15,2,14,297.306750612102
15,3,14,384.850335980452
15,4,14,316.205533596838
15,5,14,265.225933202358
20,1,14,219.526285384171
20,2,14,304.878048780488
20,3,14,269.72010178117
20,4,14,265.822784810127
20,5,14,251.225490196078
15,1,16,254.237288135593
15,2,16,251.303935514462
15,3,16,270.988310308183
15,4,16,249.899234179766
15,5,16,197.268588770865
20,1,16,315.091210613599
20,2,16,357.833655705996
20,3,16,140.14014014014
20,4,16,238.680238680239
20,5,16,317.997293640054
15,1,19,351.758793969849
15,2,19,285.423037716616
15,3,19,345.104333868379
15,4,19,268.487988695243
15,5,19,257.677373808683
20,1,19,357.682619647355
20,2,19,354.906054279749
20,3,19,243.055555555556
20,4,19,409.9560761347
20,5,19,346.740638002774
